,Detection Type,Trained On,Inference On,Easy,Medium,Hard
0,BEV,clean,adversarial,0.053582,0.089052,0.117729
1,3D,clean,adversarial,0.001763,0.003453,0.00565
2,BEV,adversarial,adversarial,83.845039,76.842575,76.430855
3,3D,adversarial,adversarial,66.106766,60.395126,61.042713
4,BEV,adversarial,clean,86.970261,78.465691,78.289085
5,3D,adversarial,clean,71.094414,63.751625,63.73251
6,BEV,ssn,adversarial,0.062951,0.126371,0.161652
7,3D,ssn,adversarial,0.003725,0.010465,0.012001
8,BEV,adversarial,ssn,87.833961,78.402519,78.335648
9,3D,adversarial,ssn,69.120178,54.891121,54.554195
10,BEV,clean,clean,89.33,86.49,79.44
11,3D,clean,clean,76.41,72.74,66.86
12,BEV,clean,ssn,87.774376,78.384964,78.407005
13,3D,clean,ssn,69.03598,55.077541,54.628204
14,BEV,ssn,clean,88.27,85.65,78.98
15,3D,ssn,clean,73.5,65.66,64.74
16,BEV,ssn,ssn,77.77,68.71,67.89
17,3D,ssn,ssn,62.46,53.85,47.62
